,Please enter a question,Potential generic question,Generic answer number,InScope
,Where can I play squash?,Where can I pkay (Sport)?,0,yes?
,Where can I play squash?,Where can I plsy (Sport)?,0,yes?
,Where can I play squash?,Where can I plat (Sport)?,0,yes?
,Where can I play squash?,Where can I plau (Sport)?,0,yes?
,Tell me a joke.,Tell me a joke.,0,no
,Tell me a joke.,Rell me a joke.,0,no
,Tell me a joke.,Yell me a joke.,0,no
,Tell me a joke.,Twll me a joke.,0,no
,Tell me a joke.,Trll me a joke.,0,no
,Tell me a joke.,Tekl me a joke.,0,no
,Tell me a joke.,Telk me a joke.,0,no
,Tell me a joke.,Tell ne a joke.,0,no
,Tell me a joke.,Tell mw a joke.,0,no
,Tell me a joke.,Tell mr a joke.,0,no
,Tell me a joke.,Tell me s joke.,0,no
,Tell me a joke.,Tell me a hoke.,0,no
,Tell me a joke.,Tell me a koke.,0,no
,Tell me a joke.,Tell me a jike.,0,no
,Tell me a joke.,Tell me a jpke.,0,no
,Tell me a joke.,Tell me a joje.,0,no
,Tell me a joke.,Tell me a jole.,0,no
,Tell me a joke.,Tell me a jokw.,0,no
,Tell me a joke.,Tell me a jokr.,0,no
,How do you contact the Triangle?,How do you contact (Organization)?,0,yes?
,How do you contact the Triangle?,Gow do you contact (Organization)?,0,yes?
,How do you contact the Triangle?,Jow do you contact (Organization)?,0,yes?
,How do you contact the Triangle?,Hiw do you contact (Organization)?,0,yes?
,How do you contact the Triangle?,Hpw do you contact (Organization)?,0,yes?
,How do you contact the Triangle?,Hoq do you contact (Organization)?,0,yes?
,How do you contact the Triangle?,Hoe do you contact (Organization)?,0,yes?
,How do you contact the Triangle?,How so you contact (Organization)?,0,yes?
,How do you contact the Triangle?,How fo you contact (Organization)?,0,yes?
,How do you contact the Triangle?,How di you contact (Organization)?,0,yes?
,How do you contact the Triangle?,How dp you contact (Organization)?,0,yes?
,How do you contact the Triangle?,How do tou contact (Organization)?,0,yes?
,How do you contact the Triangle?,How do uou contact (Organization)?,0,yes?
,How do you contact the Triangle?,How do yiu contact (Organization)?,0,yes?
,How do you contact the Triangle?,How do ypu contact (Organization)?,0,yes?
,How do you contact the Triangle?,How do yoy contact (Organization)?,0,yes?
,How do you contact the Triangle?,How do yoi contact (Organization)?,0,yes?
,How do you contact the Triangle?,How do you xontact (Organization)?,0,yes?
,How do you contact the Triangle?,How do you vontact (Organization)?,0,yes?
,How do you contact the Triangle?,How do you cintact (Organization)?,0,yes?
,How do you contact the Triangle?,How do you cpntact (Organization)?,0,yes?
,How do you contact the Triangle?,How do you cobtact (Organization)?,0,yes?
,How do you contact the Triangle?,How do you comtact (Organization)?,0,yes?
,How do you contact the Triangle?,How do you conract (Organization)?,0,yes?
,How do you contact the Triangle?,How do you conyact (Organization)?,0,yes?
,How do you contact the Triangle?,How do you contsct (Organization)?,0,yes?
,How do you contact the Triangle?,How do you contaxt (Organization)?,0,yes?
,How do you contact the Triangle?,How do you contavt (Organization)?,0,yes?
,How do you contact the Triangle?,How do you contacr (Organization)?,0,yes?
,How do you contact the Triangle?,How do you contacy (Organization)?,0,yes?
,Where can I print in color?,Where can I (Activity)?,0,yes?
,Where can I print in color?,Qhere can I (Activity)?,0,yes?
,Where can I print in color?,Ehere can I (Activity)?,0,yes?
,Where can I print in color?,Wgere can I (Activity)?,0,yes?
,Where can I print in color?,Wjere can I (Activity)?,0,yes?
,Where can I print in color?,Whwre can I (Activity)?,0,yes?
,Where can I print in color?,Whrre can I (Activity)?,0,yes?
,Where can I print in color?,Wheee can I (Activity)?,0,yes?
,Where can I print in color?,Whete can I (Activity)?,0,yes?
,Where can I print in color?,Wherw can I (Activity)?,0,yes?
,Where can I print in color?,Wherr can I (Activity)?,0,yes?
,Where can I print in color?,Where xan I (Activity)?,0,yes?
,Where can I print in color?,Where van I (Activity)?,0,yes?
,Where can I print in color?,Where csn I (Activity)?,0,yes?
,Where can I print in color?,Where cab I (Activity)?,0,yes?
,Where can I print in color?,Where cam I (Activity)?,0,yes?
,Where can I print in color?,Where can U (Activity)?,0,yes?
,Where can I print in color?,Where can O (Activity)?,0,yes?
,What professors do research in AI?,What professors do research in (Topic)?,0,no
,What professors do research in AI?,Qhat professors do research in (Topic)?,0,no
,What professors do research in AI?,Ehat professors do research in (Topic)?,0,no
,What professors do research in AI?,Wgat professors do research in (Topic)?,0,no
,What professors do research in AI?,Wjat professors do research in (Topic)?,0,no
,What professors do research in AI?,Whst professors do research in (Topic)?,0,no
,What professors do research in AI?,Whar professors do research in (Topic)?,0,no
,What professors do research in AI?,Whay professors do research in (Topic)?,0,no
,What professors do research in AI?,What orofessors do research in (Topic)?,0,no
,What professors do research in AI?,What peofessors do research in (Topic)?,0,no
,What professors do research in AI?,What ptofessors do research in (Topic)?,0,no
,What professors do research in AI?,What prifessors do research in (Topic)?,0,no
,What professors do research in AI?,What prpfessors do research in (Topic)?,0,no
,What professors do research in AI?,What prodessors do research in (Topic)?,0,no
,What professors do research in AI?,What progessors do research in (Topic)?,0,no
,What professors do research in AI?,What profwssors do research in (Topic)?,0,no
,What professors do research in AI?,What profrssors do research in (Topic)?,0,no
,What professors do research in AI?,What profeasors do research in (Topic)?,0,no
,What professors do research in AI?,What profedsors do research in (Topic)?,0,no
,What professors do research in AI?,What profesaors do research in (Topic)?,0,no
,What professors do research in AI?,What profesdors do research in (Topic)?,0,no
,What professors do research in AI?,What professirs do research in (Topic)?,0,no
,What professors do research in AI?,What professprs do research in (Topic)?,0,no
,What professors do research in AI?,What professoes do research in (Topic)?,0,no
,What professors do research in AI?,What professots do research in (Topic)?,0,no
,What professors do research in AI?,What professora do research in (Topic)?,0,no
,What professors do research in AI?,What professord do research in (Topic)?,0,no
,What professors do research in AI?,What professors so research in (Topic)?,0,no
,What professors do research in AI?,What professors fo research in (Topic)?,0,no
,What professors do research in AI?,What professors di research in (Topic)?,0,no
,What professors do research in AI?,What professors dp research in (Topic)?,0,no
,What professors do research in AI?,What professors do eesearch in (Topic)?,0,no
,What professors do research in AI?,What professors do tesearch in (Topic)?,0,no
,What professors do research in AI?,What professors do rwsearch in (Topic)?,0,no
,What professors do research in AI?,What professors do rrsearch in (Topic)?,0,no
,What professors do research in AI?,What professors do reaearch in (Topic)?,0,no
,What professors do research in AI?,What professors do redearch in (Topic)?,0,no
,What professors do research in AI?,What professors do reswarch in (Topic)?,0,no
,What professors do research in AI?,What professors do resrarch in (Topic)?,0,no
,What professors do research in AI?,What professors do resesrch in (Topic)?,0,no
,What professors do research in AI?,What professors do reseaech in (Topic)?,0,no
,What professors do research in AI?,What professors do reseatch in (Topic)?,0,no
,What professors do research in AI?,What professors do researxh in (Topic)?,0,no
,What professors do research in AI?,What professors do researvh in (Topic)?,0,no
,What professors do research in AI?,What professors do researcg in (Topic)?,0,no
,What professors do research in AI?,What professors do researcj in (Topic)?,0,no
,What professors do research in AI?,What professors do research un (Topic)?,0,no
,What professors do research in AI?,What professors do research on (Topic)?,0,no
,What professors do research in AI?,What professors do research ib (Topic)?,0,no
,What professors do research in AI?,What professors do research im (Topic)?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,Qhat classes does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,Ehat classes does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,Wgat classes does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,Wjat classes does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,Whst classes does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,Whar classes does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,Whay classes does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What xlasses does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What vlasses does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What ckasses does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What clssses does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What claases does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What cladses does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What clasaes does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What clasdes does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classws does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classrs does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classea does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classed does Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes soes Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes foes Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes dies Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes dpes Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes dows Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes dors Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes doea Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes doed Professor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Orofessor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Peofessor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Ptofessor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Prifessor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Prpfessor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Prodessor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Progessor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Profwssor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Profrssor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Profeasor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Profedsor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Profesaor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Profesdor (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Professir (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Professpr (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Professoe (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Professot (Faculty) teach?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) reach?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) yeach?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) twach?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) trach?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) tesch?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) teaxh?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) teavh?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) teacg?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) teacj?,0,no
,Who is dean of Computer Science Department?,Who is dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Qho is dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Eho is dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Wgo is dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Wjo is dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Whi is dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Whp is dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who us dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who os dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who ia dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who id dean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is sean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is fean of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is dwan of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is dran of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is desn of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is deab of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is deam of (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is dean if (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is dean pf (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is dean od (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is dean og (Department) Department?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Separtment?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Fepartment?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Dwpartment?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Drpartment?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Deoartment?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Depsrtment?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Depaetment?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Depattment?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Deparrment?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Deparyment?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Departnent?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Departmwnt?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Departmrnt?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Departmebt?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Departmemt?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Departmenr?,0,yes?
,Who is dean of Computer Science Department?,Who is dean of (Department) Departmeny?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,Gow many professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,Jow many professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,Hiw many professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,Hpw many professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,Hoq many professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,Hoe many professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How nany professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How msny professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How maby professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How mamy professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How mant professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How manu professors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many orofessors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many peofessors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many ptofessors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many prifessors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many prpfessors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many prodessors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many progessors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many profwssors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many profrssors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many profeasors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many profedsors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many profesaors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many profesdors are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professirs are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professprs are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professoes are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professots are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professora are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professord are there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors sre there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors aee there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors ate there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors arw there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors arr there in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are rhere in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are yhere in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are tgere in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are tjere in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are thwre in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are thrre in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are theee in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are thete in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are therw in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are therr in (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are there un (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are there on (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are there ib (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are there im (Department) department?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) separtment?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) fepartment?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) dwpartment?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) drpartment?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) deoartment?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) depsrtment?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) depaetment?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) depattment?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) deparrment?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) deparyment?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) departnent?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) departmwnt?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) departmrnt?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) departmebt?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) departmemt?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) departmenr?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) departmeny?,0,yes?
,What classes does William Mongan teach?,What classes does (Faculty) teach?,0,no
,What classes does William Mongan teach?,Qhat classes does (Faculty) teach?,0,no
,What classes does William Mongan teach?,Ehat classes does (Faculty) teach?,0,no
,What classes does William Mongan teach?,Wgat classes does (Faculty) teach?,0,no
,What classes does William Mongan teach?,Wjat classes does (Faculty) teach?,0,no
,What classes does William Mongan teach?,Whst classes does (Faculty) teach?,0,no
,What classes does William Mongan teach?,Whar classes does (Faculty) teach?,0,no
,What classes does William Mongan teach?,Whay classes does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What xlasses does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What vlasses does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What ckasses does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What clssses does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What claases does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What cladses does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What clasaes does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What clasdes does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classws does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classrs does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classea does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classed does (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classes soes (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classes foes (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classes dies (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classes dpes (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classes dows (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classes dors (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classes doea (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classes doed (Faculty) teach?,0,no
,What classes does William Mongan teach?,What classes does (Faculty) reach?,0,no
,What classes does William Mongan teach?,What classes does (Faculty) yeach?,0,no
,What classes does William Mongan teach?,What classes does (Faculty) twach?,0,no
,What classes does William Mongan teach?,What classes does (Faculty) trach?,0,no
,What classes does William Mongan teach?,What classes does (Faculty) tesch?,0,no
,What classes does William Mongan teach?,What classes does (Faculty) teaxh?,0,no
,What classes does William Mongan teach?,What classes does (Faculty) teavh?,0,no
,What classes does William Mongan teach?,What classes does (Faculty) teacg?,0,no
,What classes does William Mongan teach?,What classes does (Faculty) teacj?,0,no
,Why is Vokolos so nice?,Why is (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Qhy is (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Ehy is (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Wgy is (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Wjy is (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Wht is (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Whu is (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Why us (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Why os (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Why ia (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Why id (Faculty) so nice?,0,no
,Why is Vokolos so nice?,Why is (Faculty) ao nice?,0,no
,Why is Vokolos so nice?,Why is (Faculty) do nice?,0,no
,Why is Vokolos so nice?,Why is (Faculty) si nice?,0,no
,Why is Vokolos so nice?,Why is (Faculty) sp nice?,0,no
,Why is Vokolos so nice?,Why is (Faculty) so bice?,0,no
,Why is Vokolos so nice?,Why is (Faculty) so mice?,0,no
,Why is Vokolos so nice?,Why is (Faculty) so nuce?,0,no
,Why is Vokolos so nice?,Why is (Faculty) so noce?,0,no
,Why is Vokolos so nice?,Why is (Faculty) so nixe?,0,no
,Why is Vokolos so nice?,Why is (Faculty) so nive?,0,no
,Why is Vokolos so nice?,Why is (Faculty) so nicw?,0,no
,Why is Vokolos so nice?,Why is (Faculty) so nicr?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,Qhat is (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,Ehat is (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,Wgat is (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,Wjat is (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,Whst is (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,Whar is (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,Whay is (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,What us (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,What os (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,What ia (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,What id (Faculty)'s favorite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'a favorite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'d favorite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s davorite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s gavorite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s fsvorite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s facorite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s faborite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favirite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favprite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favoeite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favotite color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorute color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorote color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorire color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favoriye color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favoritw color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favoritr color?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite xolor?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite volor?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite cilor?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite cplor?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite cokor?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite colir?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite colpr?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite coloe?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite colot?,0,no
,Does Mongan like students using laptops in class?,Does (Faculty) like students using laptops in class?,0,no
,Does Mongan like students using laptops in class?,Soes (Faculty) like students using laptops in class?,0,no
,Does Mongan like students using laptops in class?,Foes (Faculty) like students using laptops in class?,0,no
